abandon, to	aufgeben, verlassen
capable capable of development	fähig ausbaufähig
captivated, to be	gefesselt, gefangen
captivated I found themselves captivated by the rhythm...	gefesselt
carillon the bells in the new carillon tower rang.	Glockenspiel
casket	Sarg, Kästchen
celestial	himmlisch
census	Volkszählung
chase	Jagd, Verfolgung
cheap, to I had always been willing to go to the edge, but I wasn't willing to cheapen my faith!	verbilligen
cheat, to	betrügen
chest of drawers	Kommode
chill	Kältegefühl, Frostgefühl
chilly	kalt, frostig
choke, to choke back= Ärger etc. unterdrücken (Tränen) zurückhalten choke up = verstopfen Luftklappe am Auto	würgen, erwürgen 
chord vocal chord	Akkord, Seite Stimmband
chores	Hausarbeit
Christendom	Christenheit
chuckle, to I chuckled in reminiscence (to reminisce)	hineinlachen (in sich)
circumference circumference of the earth	Umfang Erdumfang
clung, to they clung to his every word	klammern
clutter	Wirrwarr, Unordnung
coin	Münze prägen
coinciding, to	zusammentreffen, zusammenfallen, übereinstimmen
collateral	begleitend, Sicherheit
commit, to I committed my life to Jesus	übergeben, anvertrauen
compartment	Abteilung (Zug)
compassion	Mitleid
compelling	zwingend
complain, to	sich beschweren
composure	Gelassenheit
comprehension	Begreifen, Verständnis, Verstand
conceal she tries to conceal her emotion	verbergen
concern	Anliegen
concierge 	Hausmeister
concoct	aushecken, zusammenbrauen
concurrent	gleichzeitig
condemn, to	verdammen
condominium	Eigentumswohnung
condone, to	verzeihen, vergeben
confession	Bekenntnis, Sündenbekenntnis
confident to confide confidence	zuversichtlich, überzeugt, zufrieden anvertrauen Zuversicht
confound with, to = to confuse	verwechseln mit, verwirren, vermengen
Congregational church	evangelische Freikirche
consent	Zustimmung, Genehmigung
consider, to	betrachten
conspicuous make oneself conspicuous	auffallend, sichtbar, hervorragend sich auffällig benehmen
conspiracy	Verschwörung
contagious (this dreaming was contagious)	ansteckend
contemplate contemplative contemplation As I continued to contemplate my future roles in the ministry, I reviewed some of the ideas	betrachten, beabsichtigen, vorhaben nachdenklich, beschaulich Betrachtung, Nachdenken
contemporary	zeitgenösisch
contiguous	angrenzend, benachbart, anliegend zusammen zusammenhängend
contradiction	Widerspruch
contribute, to	beitragen
convenient	bequem, angenehm
conversion	Bekehrung
convey	transportieren, bringen, übermitteln, überbringen, mitteilen
convict, to conviction	für schuldig erklären Schuldigerklärung
copper tresses	Kupfer- Locken
cordially I was cordially received	herzlich
corncobs	Maiskolben
countenance in that beloved countenance I read the words, ...	Gesichtsausdruck, Fassung
courteous some homeowners were less courteous than others	höflich
cozy	behaglich, gemütlich
crank was it a crank letter	u.a. Sonderling, komischer Kauz
creek	Bach
crest we finally crested the mountaintop	Bergrücken, Kamm
crude a crude and unfair criticism heard in the halls of Western	roh, unreif, unfein, grob
crusade	Kreuzzug
cry, to, to cry out	weinen
cue	Stichwort, Wink
culminate, to 	gipfeln in
cure, to = to heal	heilen
curious I'm curious about it	neugierig, sonderbar, merkwürdig Ich bin darauf gespannt
curtain	Vorhang
custodian	Aufseher
customary	gewöhnlich
customs	Zoll, Zollbehörde
cyclone	Wirbelsturm
dairy (truck)	Molkerei, Milchwirtschaft
daredevilish	draufgängerisch
daring	kühn, waghalsig
dawn	Dämmerung, Morgendämmerung, Tagesanbruch
dawned it finally dawned on me that...	es wurde mir langsam klar, ...
dawn let us greet the dawn with a song	Morgendämmerung, Tagesanbruch
dazed solitude Mom doesn't seem to be listening. She stares in dazed solitude.	betäubende Einsamkeit
debris the violent and whirling cloud of dirt and debris is no more than a quarter-mile away	Trümmer
decipher, to	entziffern
dedicate	widmen, weihen
defeat, to	besiegen
defend, to	verteidigen
defensive	verteidigend
defer, to	aufschieben, verschieben
deliberate, to deliberation	überlegen, erwägen bedachtsam, besonnen Überlegung, Beratung
delineate, to (delineated above)	schildern (entwerfen, zeichnen)
deliver, to = to relieve 	befreien
deluge, to	überschwemmen
deny	leugnen
depict, to	darstellen
deplete, to we depleted all our other resources	leeren, dezimieren
depravity (of human beings)	moralische Verdorbenheit
depressed, to be	niedergeschlagen sein
derisive	spöttisch, höhnisch
deserted	verlassen
despair	verzweifeln
destined destination	bestimmt Bestimmungsort
destruction to destroy	Zerstörung zerstören
detention	Arrest, Festnahme
deteriorate, to deterioration	sich verschlechtern, an Wert verlieren
determined, to be determination	entschlossen sein Entschlossenheit, Entscheidung, Entschluss
detour	Umweg, Umleitung
devastating the news was devastating	verheerend, vernichtend
deviate, to	abweichen
devout standing before a crowd of devout Muslims ...	andächtig, fromm, sehnlichst
dew	Tau (Natur)
diatribe the identical diatribe appeared in each document	Hetzrede
dice, die	Würfel (plural)
digestion digest, to	Verdauung verdauen, überdenken, ordnen
dignified (dignity)	würdevoll, gediegen
dignity	Würde
disappointed, to be	enttäuscht sein
disapproval she seemed confused and definitely disapproving	Missbilligung
discern, to discernible discerning discernment discernment of spirits gift of discernment	erkennen, wahrnehmen, beurteilen, unterscheiden unterscheidbar, erkennbar, sichtbar kritisch, scharfsichtig Einsicht, Scharfsinn Unterscheidung der Geister
disciple	Jünger
disclose, to	aufdecken, offenbaren
discuss, to	besprechen
disdain, to	verachten, verschmähen
disease	Krankheit
disembark, to	ausschiffen, von Bord gehen
disgrace, fall into disgrace	in Ungnade verfallen
dishonest	unehrlich
dismal	trostlos, elend, trüb
dismay but to my dismay,...	zu meinem Entsetzen
disobedience to obey 	Ungehorsam gehorchen
dispel, to and so we would see that occasional criticism couldn't dispel the praise that many were voicing.	verbannen, vertreiben
dissect, to	zerlegen, zergliedern
dissent, to	widersprechen, anderer Meinung sein
dissipate, to someone of goodwill can take that negative energy and dissipate it.	zerstreuen, vergeuden, verschwenden
distinct distinction	verschieden, getrennt, deutlich, klar Unterscheidung, Unterschied, 
distinguish, to = to discern	unterscheiden
distinguished to distinguish (between)	ausgezeichnet, hervorragend kennzeichnen, hervorheben, unterscheiden zwischen
distorted	verdreht
distract, to	ablenken, zerstreuen, verrückt machen
disturbance	Störung, Unruhe
ditch	Graben
divulge, to	ausplaudern, verbreiten, bekanntmachen
donor	Blutspender, Organspender
doom, to our project was doomed	verurteilen, verdammen
downpour	Regenguss
drape, to	drapieren, in Falten legen (meist drapes = Gardinen)
dread to dread	große Angst, Furcht
drive out demons	Dämonen austreiben
drizzly on a rather drizzly day in late March...	nieselnd
drown, to	ertränken, überschwemmen
drudgery	Plackerei, stumpfsinnige Schinderei
dull	dumm, träge, matt(Auge), schwach (Gehör), abgestumpft, teilnahmslos
dullness	Schwäche
duties	Pflichten
eager, to be (about, after, )	gierig sein, gespannt, eifrig
ease I fell asleep with ease. at ease = bequem, behaglich	Behagen, Bequemlichkeit, Ruhe, Ungezwungenheit, Leichtigkeit
ebullient	überschäumend, überschwänglich
edifice	Gebäude
effect	Auswirkung
efficiency	Leistungsfähigkeit, Wirkungsgrad
elevation front elevation (=Front-Ansicht)	Erhöhung, Emporheben
embark, to embark on	etwas anfangen
embarrassed, to be= ashamed embarrassment	verlegen, verlegen sein Verlegenheit
embedded in	eingebettet in, eingeschlossen in
emboldened	ermutigt
embossed embossed printing	geprägt Blindenschrift
embrace, to	sich umarmen
emulate, to	nacheifern, wetteifern
encase, to I placed my hand on the plastic binder that encased the pages.	einschließen, umhüllen
enchantment I plunge from the car to race toward this enchanted place	Bezauberung, Zauber
encounter, to	(plötzlich) begegnen, auf Schwierigkeiten stoßen, treffen auf
endearment 	beliebt machen
endeavor	Bestreben, Bemühung
endurance endurable enduring	Dauer, Ertragen, Aushalten erträglich dauernd, dauerhaft
engulf, to the Dominee's call engulfed me	verschlingen
enlist, to	anwerben, jmd. gewinnen
enliven, to speaking in public has never caused my nerves to quake; it enlivens me	beleben
enticing	locken, verlocken
entreat	inständige Bitte
entrust	anvertrauen
esteem (self-esteem)	Achtung, Ansehen achten, hoch schätzen
estimate, to	schätzen
exaggerate, to	aufbauschen, übertreiben
exasperate, to	wütend machen, ärgern
excruciating	entsetzlich, scheußlich
exonerate, to my friends defended and exonerated me	entlasten
explore, to	erforschen
expositorily	auslegend, erklärend
exposure, fear of exposure	Bloßstellung, Enthüllung auch: Aussetzen, Ausgesetztsein
expound, to thirty more books would follow in the next thirty years, expounding the same simple message of faith, hope and love.	erklären, auslegen
exuberant	übermäßig, überschäumend, üppig
faint, to faint	ohnmächtig werden Ohnmacht
fair	Jahrmarkt, Kirmes
faithful faith faithfulness	treu, gewissenhaft Glaube, Vertrauen, Treue Treue, Ehrlichkeit
fate he met his fate calmly how sad a fate!	Schicksal, Geschick, Verhängnis er sah seinem Schicksal ruhig entgegen welch traurige Geschichte
favor	Gunst
fertile here an idea is dropped like a fertile egg en the womb (=Gebärmutter) of your imagination	fruchtbar
fervent and then I smiled long and fervently	heiß, inbrünstig, glühend, leidenschaftlich
fervid the son of a fervid communist, he ...	glühend
fetch, to	holen
fidget, fidgetiness fidget, to she fidgets under my gaze	nervöse Unruhe herumfuchteln, herumzappeln
figure out, to	sich etwas ausdenken, ausmalen
filth	Schmutz
flamboyant (dreamer)	überladen
flatterer	Schmeichler
flinch, to	zurückweichen, zucken
fold	Schafherde
foliage the trees are green with foliage	Laub, Laubwerk
foreclosure sale	Zwangsverkauf
formula	Formel, Schema, Rezept magic formula (=Zauberformel)
fragrance fragrant	Wohlgeruch duftend, wohlriechend
frail I'm looking of the frail figure of my father	gebrechlich, zerbrechlich
fraternities	Brüderlichkeit
fray you can remain above the fray	Schlägerei; to fray: abnutzen, ausfransen 
fresh	frech
frugality	Sparsamkeit, Einfachheit
fumble, to he fumbled in his pocket, drew out a piece of paper...	tasten, fummeln
funnel	Schornstein, Trichter
furnace	Schmelzofen
furthermore	überdies, außerdem
futile futile regret is a negative spirit	nutzlos, zwecklos
gait I walked with Dad, his gait slow and painful	Gang, Schritt
gale	Sturm
gales	Stürme
glance	Blick
glee	Fröhlichkeit
glibly I remarked glibly to John	gewandt, schlagfertig
gorgeous	farbenprächtig
gospel	Evangelium
gossipy chatter	geschwätziges, klatschhaftes Geplapper
gourd	Kürbis
gown	Kleid, Robe
grace =mercy	Gnade
gratitude	Dankbarkeit
greenish hue	grünliche Farbe, Ton
grief come to grief	Gram, Kummer zu Schaden kommen
grieve, to grievous	bekümmern, kränken, weh tun; kränkend, schmerzlich
grove	Wäldchen, Gehölz
guffaw ...with a contagious guffaw	schallendes Gelächter
hailstorm	Hagelschauer
harbor to harbor	Hafen, Zufluchtsort Rachegedanken hegen, auch: beherbergen
harm	Schaden, Unrecht, Böses, beschädigen, verletzen
harsh = rough	rau, herb, grell, streng, barsch
harshly scrutinized her mother had harshly scrutinized the little place	genau prüfen
haughty	hochmütig
hemorrhage	Blutung
heretics	Ketzer
hide, to	sich verbergen
hint	Wink
hip, hips  his hands on our hips a broken hip	Hüfte (auch: Hagebutte)
hissing sparks	zischende Funken
hitch negotiations had gone without a hitch	Ruck, Knoten
hog (shed)	Schwein
hollow	hohl, Höhle
hostage	Geisel
hostile hostile to foreigners	feindlich ausländerfeindlich
humble	demütig
hush	still! Stille zum Schweigen bringen, besänftigen, beruhigen
ignition	Zündung (Auto)
illness, sickness, disease	Krankheit
impact	Einwirkung, Zs.stoß
impart, to	verleihen, weitergeben, vermitteln, mitteilen
impeachment impeach	Anklage  anklagen, anfechten, anzweifeln
impeccable attire (attire= Bekleidung)	untadelig, einwandfrei
impediment	Hindernis
implication	stillschweigende Folgerung
imprisoned 	eingesperrt
impropriety they were also accused of financial improprieties.	Unschicklichkeit, Ungehörigkeiten
in all likelihood	aller Wahrscheinlichkeit nach
inauguration	Amtseinführung, Einweihung, Beginn Inauguration Day = Tag der Amtseinführung des neugewählten Präsidenten der USA (20. Januar)
incensed I was incensed by the( ludicrous =lächerlich) word impossible	in Wut bringen
incident	Vorfall, Ereignis
incidental	zufällig, nebenbei
increase / decrease	zu- abnehmen
incredulity	Ungläubigkeit
incur	sich etwas zuziehen, auf sich laden, geraten in Schulden machen Verpflichtung eingehen Verlust erleiden
indigenous	einheimisch, eingeborene
inductively	einführend
indulge	nachsichtig sein gegen, gewähren lassen, jmd. nachgeben, schlucken
indulge in sth.	sich etwas gönnen, leisten
inevitable	unvermeidlich
infatuation the entire evening had been nothing but infatuation	Verliebtheit
inferior inferiority	untergeordnet geringerer Wert (Gegenteil= superiority)
infidelity	(bes. eheliche) Untreue
infinite	unendlich
ingenuity Mom's ingenuity fascinated me ingenious = erfinderisch, ausgeklügelt, genial, sinnreich	Genialität, Einfallsreichtum
inheritance to inherit	Erbe, Vererbung (er)erben
inhibit, to	(ver)hindern, hemmen verbieten
innate we all know the innate risk of the matter, but no one acknowledges it	angeboren
inquire, to inquisitive	erkundigen nach, fragen nach neugierig
intercessor intercession = Fürbitte	Fürsprecher
investigation	Erforschung, Nachforschung, Untersuchung
invoke, to	Gott um Rat anrufen
irreversible	nicht umkehrbar
issued	ausgegeben, beliefert
I thanked him and passed  up the offer	gute Redewendung
itinerary	Reiseroute, Reisebeschreibung
jagged	gezackt
jaws	Maul, Kiefer, Kinnbacken
jealous of ( to envy=beneiden; envy=Neid) jealousy	eifersüchtig auf, neidisch Neid, Eifersucht
jeopardy jeopardize, to	Gefahr auf's Spiel setzen, gefährden
jerk	ruckartig, holprig, abgehackt (Sprache)
jolt, to	stoßen, rütteln, holpern
jolt the towns we passed through gave me a jolt I'm jolted by his tone of conviction	Ruck, Stoß, Schock  aufrütteln, stoßen holpern
judge, to	urteilen, beurteilen
just in case	Redewendung: zur Sicherheit
kindness kindly	Güte, Freundlichkeit freundlich
labels, I remembered how labels can damage the psyche, to label	Etikett, Aufkleber, Schildchen, abstempeln als 
lambaste, to	verprügeln
lamppost	Laternenpfahl
lanky Dad stands, lanky and silent by the icebox	schlaksig
lap  (lying on the lap of his eldest sister) lap dog = Schoßhund	Schoß
launch, to	in Gang setzen, schleudern
lavishing	verschwenden
leisurely pace	gemächlicher Gang, Schritt
lessen, to	verkleinern, vermindern
limp his arms hanging limp at its side	schlaff, müde
lineage	Abstammung
linger, to	zögern, sich aufhalten, verweilen
literally	wörtlich
loan	Kredit, Anleihe, Leihe, Darlehen
Lord's supper = communion	Abendmahl
ludicrous	lächerlich
luncheon	Lunch, Mittagessen
lurch to leave in the lurch	im Stich lassen
madhouse	Irrenhaus
makeshift	behelfsmäßig
maple	Ahorn
mastectomy	Brustamputation
mature maturity	reif Reife, Fälligkeit
meandering I visualized her meandering gently from side to side down the slope.	schlängelnd
measure up, to in a great measure measure 	heranreichen an größtenteils Maß, Takt, Maßnahme
ministry ministrian	geistliches Amt dienend
mirth mirthful mirthless	Fröhlichkeit, Freude fröhlich freudlos
moist his eyes are so moist that his vision must be blurred	feucht
mortgage, ~s	Hypothek (Plural)
mortuary chapel	Leichenhalle
Mosque	Moschee
motion	Antrag (zur Abstimmung)
mould, to =to mold 	formen, gießen
mud	Schlamm, Schmutz
muddle, to	durcheinander bringen, verwirren
murmur, to	murmeln, raunen
mutual I thought I could sense that the attraction was mutual	gegenseitig, gemeinsam
nature's fury	Wut, Zorn, Raserei
naughty naughtiness	unartig, ungezogen
nauseate	Ekel erregend
neat	nett, geschmackvoll, zierlich, niedlich
neglect, to	vernachlässigen, eine Gelegenheit versäumen
negligence negligent =  nachlässig	Nachlässigkeit
nonetheless	nichts desto weniger
nonnegotiable	nicht übertragbar
nooks and crannies the few young men I'd seen hidden in the nooks and crannies of the campus seemed to have disappeared	Ecke, Winkel    Riss, Ritze
notorious	allbekannt, weltbekannt, berüchtigt
nudge feeling the nudge	stupsen, Rippenstoß
nurture, to	aufziehen, nähren, ernähren Pflege, Erziehung
oats	Hafer
oblige, to oblige someone much obliged	zu Dank verpflichten, nötigen, zwingen jmd. einen Gefallen tun sehr verbunden, danke bestens
obtain, to	erlangen, erwirken, erhalten
occasion occasional	Gelegenheit gelegentlich, zufällig
oeuvre	Gesamtwerk eines Künstlers
omit, to	unterlassen, auslassen
omnipotence omnipotent	Allmacht allmächtig
on your behalf	in deinem Namen
orchards	Obstgarten
orphan to be orphaned	Waise (Waisenkind) verwaist sein
ostentatious ( soon the celebration is interrupted by Grandma's ostentatious entry)                             	prahlerisch, protzend
ostracize, to Ostracized by the religious community on all sides, I was...	verbannen
overcast It's a chilly, overcast morning	bewölkt
owl	Eule
oxygen	Sauerstoff
pacesetter	Herzschrittmacher, Schrittmacher
pacing I begin pacing, unable to sit still.	durchschreiten
pail =bucket	Eimer
painstakingly	sorgfältig, gewissenhaft
pale pale skin pale ale= helles Bier	blass, bleich, fahl, blass werden, erbleichen lassen
pane	Fensterscheibe
parishioners	Gemeindemitglieder
parochial	Pfarr.. Kirchen.. Gemeinde engstirnig, beschränkt
parsonage	Pfarrei, Pfarrhaus
passion	Leidenschaft, heftige Liebe
pasture	Weide (-land)
pauper (marries princess)	Armer 
peaks, mountain peaks we watched the rising sun hit peaks	Gipfel
pensively I approach my family pensively to say goodbye	nachdenklich
per	durch
perceive, to perception	bemerken, wahrnehmen, empfinden Wahrnehmungsvermögen, Erkenntnis
periscope	Sehrohr (am U-Boot)
perishables	leicht verderbliche Ware
permeate, to	durchdringen
perpetual	fortwährend, ewig, lebenslänglich
persecute, to persecution	verfolgen Verfolgung
perseverance persevere persevering	Ausdauer, Beharrlichkeit beharrlich weitermachen ausdauernd, beharrlich
persist on, to persistence	beharren, bestehen auf
persuade, to	überreden
pertinent information be pertinent to	sachgemäße Information Bezug haben auf
perturbed to perturb he seemed perturbed and even resistant	beunruhigt, gestört
peruse, to	prüfen, durchsehen, durchgehen
petition	Bittschrift, Gesuch
pews	Kirchenbänke
philanthropic on the other side was along list of philanthropic endeavors.	menschenfreundlich
pillar tall pillars dominated the enormous front oft the church	Pfeiler, Säulen
pinnacle	Spitze, Zinne, Gipfel
pit 	Grube
pitiful	bemitleidenswert
play first fiddle	erste Geige spielen
plead , to to plead for (to beg for)	plädieren flehen
pledge	Pfand Zutrinken, Toast Versprechen, Gelöbnis
poignancy the poignancy of the moment passes	Schärfe
poignant it is a most poignant and holy time	ergreifend (auch: scharf, bitter)
politely	artig, höflich
ponder, to I stood in the center of the church and pondered the bond that was being affirmed there.	erwägen, nachdenken
pontifical preacher	priesterlicher Prediger
poop, to I was pooped, but just as I took off my coat, the phone rang	auspumpen
porch	Vorhalle
pour to	gießen, schütten
poverty	Armut
precarious	unsicher, bedenklich, gefährlich
precious	kostbar
predecessor	Vorgänger
predicament I called him to explain my predicament	missliche Lage, Zwangslage
prejudice	Vorurteil
preliminary the meeting, including all the preliminaries, had run to three hours.	Einleitung, Vorbereitung vorläufig, einleitend, Vor...
previous	früher, vorhergehend
principles	Grundsätze, Prinzipien
procrastinate	zaudern
prod, to I was determined to prod myself	anspornen
profane such filth must not be allowed to profane this sacred place.	entweihen profan, weltlich, gottlos, lästerlich
profusely	reich, verschwenderisch, überreich
proponent	Befürworter
proselyte proselytizing of that sort was against my ethics	Bekehrungseifer 
providential	durch die göttliche Vorsehung bewirkt, glücklich, günstig
provoke, to	reizen, herausfordern
proximity approximate	Nähe sich nähern, annähernd, ungefähr
prudent	klug, vernünftig, vorsichtig
pulpit	Kanzel
pungent the smell of field and cattle was pungent 	stechend, beißend, scharf
punish, to  punishment	(be)strafen Strafe, Bestrafung
purchase	anschaffen, die Anschaffung
purity	Reinheit
purpose, on = deliberately	absichtlich
pursue, to	streben nach, Beruf nachgehen, verfolgen, betreiben (Studium), fortsetzen, fortfahren
pursuit	Verfolgung, Streben ( prayerful pursuit)
quadruple	vierfach
quaint a quaint place	anheimelnd, malerisch, drollig
quest for Margaret was my lone predecessor in a quest for higher education	Suche nach
quivering (lips)	zittern, beben
rack coat rack =Garderobe	Gestell, Folterbank
radiant bride	strahlende, leuchtende Braut
ramify, to ramifications	verzweigen, sich verzweigen
ransack, to	durchwühlen, durchstöbern, ausrauben
rapture	Begeisterung
rattle, to 	rasseln, klappern, rütteln, plappern
rave, to	rasen, toben, schwärmen
realm	Bereich
reassure, to	nochmals versichern, beteuern, beruhigen
rebuke, to ~	Tadel, Rüge, tadeln, rügen
rebut, to	widerlegen, entkräften
recipient	Empfänger
recoil, to	abprallen, zurückprallen
recommend, to	empfehlen
redeem, to = to save	auslösen
redemptive I would be preaching against sin via a creative, redemptive approach redemption =Auslösung, Erlösung	erlösend
reel, to	wirbeln, schwanken, taumeln
refinement	Veredelung, Verfeinerung
regret, to	bedauern, bereuen
rehearsals	Probe ( beim Theater)
reject, to rejection	verwerfen, ablehnen, zurückweisen Ablehnung, Verwerfung
rejoice, to at /by rejoicing	erfreut über freudig
rejuvenate, to	verjüngen
release, to	freilassen, erlösen
relentless her classmates had been relentless in making cruel remarks to her about her father.	unbarmherzig
relief	Erleichterung, Erlösung
relieve to, to deliver	befreien
relinquish I couldn't relinquish my mission of love and hope	aufgeben, verzichten auf, loslassen
relish, to  I listened, relishing the history lesson, but ...	genießen
reluctant, reluctantly reluctance to be reluctant to do	widerstrebend, widerwillig Widerstreben sich sträuben zu tun
rely on, to	sich verlassen auf
reminiscence	Erinnerung
remnant (of my home)	Rest, Überrest
remorse	Gewissensbisse, Reue
render, to to render a service, to do a service	leisten einen Dienst erweisen
repentance to be repentant	Reue
replenish, to	auffüllen, ergänzen
reproach reproachful	Vorwurf vorwurfsvoll
reprove	tadeln, rügen
reputation	Ansehen, Ruf
require, to if required = falls notwendig	verlangen, fordern, 
rescind, to = to annul	aufheben, rückgängig machen ( Vertrag), zurücktreten
rescue	Rettung, Befreiung
respect	Rücksicht, Achtung
restore, to  restore to life	wiederherstellen wieder gesund machen
resume, to	fortfahren
resurrection= Jesus rising from death	Auferstehung
retain, to	behalten, zurückbehalten
reticence to be reticent	 verschwiegen, schweigsam, zurückhaltend
retracting	zurückziehen
retreat	Rückzug, Zuflucht, Zufluchtsort, Schlupfwinkel, sich zurückziehen
reveal, to	enthüllen, aussagen, offenbaren
reverberate, to	zurückstrahlen
revered but so revered was the sanctity of marriage that .. reverence.	heilig (ehren verehren)  Ehrfurcht, Verehrung
reward	Belohnung, Lohn
ribbons	Bänder (Haarbänder)
riddle to riddle	Rätsel, grobes Sieb sieben, durchlöchern
ridge	Kamm, Gebirgskamm, Grat
righteousness righteous	Rechtschaffenheit gerecht, rechtschaffen
ripe the future is ripe	reif
rooster	Hahn, Haushahn
ruckus	Unruhe
rugged a lot of rugged road in either direction	rau, wild, zerklüftet
salvation	Erlösung
sanctification to sanctify	Heilung heilen
satchels	Mappen, Schulranzen
scar to scar over the operation left me with very noticeable scars	Narbe vernarben
scoffed	gespottet, verspottete
scold, to (he scold me for being late) the doctor in the emergency room doesn't try to lecture or scold the wounded scold	schelten, schimpfen, aus~, zanken   zänkisches Weib
scratch, to you can build a church from scratch	kratzen, verkratzen, löschen
